sys userno topicid top5 top10 inum
vsb 30 40048 0.8 0.9 1
vsb 30 40048 1.0 1.0 1
vsb 30 40048 1.0 1.0 1
vsb 32 40009 0.8 0.8 0
vsb 32 40009 1.0 0.9 0
vsb 32 40009 0.8 0.8 1
vsb 32 40009 0.8 0.8 1
vsb 32 40009 1.0 0.9 1
vsb 32 40009 0.0 0.0 1
vsb 32 40009 1.0 0.9 1
vsb 32 40009 1.0 1.0 1
vsb 32 40009 1.0 1.0 1
vsb 32 40009 0.8 0.8 1
vsb 32 40009 0.8 0.8 1
vsb 32 40009 0.0 0.0 1
vsb 32 40009 1.0 0.8 1
vsb 32 40009 0.8 0.8 1
vsb 32 40009 0.2 0.1 1
vsb 33 40021 1.0 1.0 0
vsb 33 40021 1.0 1.0 0
vsb 33 40021 1.0 1.0 1
vsb 33 40021 1.0 0.8 1
vsb 33 40021 1.0 0.8 1
vsb 33 40021 1.0 1.0 1
vsb 33 40021 1.0 1.0 1
vsb 33 40021 1.0 1.0 1
vsb 33 40021 1.0 1.0 1
vsb 33 40021 1.0 1.0 1
vsb 33 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 0
vsb 34 40021 1.0 1.0 0
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 34 40021 1.0 1.0 1
vsb 35 40048 1.0 1.0 0
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 0.8 0.8 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 35 40048 1.0 1.0 1
vsb 36 40009 1.0 0.8 0
vsb 36 40009 1.0 1.0 1
vsb 36 40009 1.0 1.0 1
vsb 36 40009 1.0 1.0 1
vsb 36 40009 1.0 1.0 1
vsb 36 40009 1.0 1.0 1
vsb 36 40009 1.0 1.0 1
vsb 36 40009 1.0 1.0 1
vsb 36 40009 1.0 1.0 1
vsb 36 40009 1.0 1.0 1
vsb 36 40009 1.0 1.0 1
vsb 37 40009 1.0 0.8 0
vsb 37 40009 0.8 0.9 1
vsb 37 40009 0.8 0.7 1
vsb 37 40009 0.6 0.7 1
vsb 37 40009 0.8 0.7 1
vsb 37 40009 0.8 0.8 1
vsb 37 40009 0.4 0.6 1
vsb 31 40048 1.0 1.0 0
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 0.8 0.9 1
vsb 31 40048 0.8 0.9 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 0.2 0.1 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 0.2 0.1 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 0.0 0.0 1
vsb 31 40048 0.0 0.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
vsb 31 40048 1.0 1.0 1
