"sys" "userno" "topicid" "qno" "noteno" "noteid" "docno" "p" "sysorder"
"259" "vsb" 9 40009 7 21 8469 "APW20010111.1817.0705" 0 2
"260" "vsb" 9 40009 7 23 8471 "APW20010111.1817.0705" 0 2
"261" "vsn" 9 40021 1 10 8442 "CBS20010121.0800.0231" 1 1
"262" "vsn" 9 40021 2 14 8446 "XIN20010114.2000.0139" 0 1
"263" "vsn" 9 40021 2 10 8442 "CBS20010121.0800.0231" 1 1
"264" "vsn" 9 40021 3 14 8446 "XIN20010114.2000.0139" 0 1
"265" "vsn" 9 40021 4 2 8433 "CTS20010115.2000.0008" 0 1
"266" "vsn" 9 40021 5 13 8445 "XIN20010115.2000.0144" 0 1
"267" "vsn" 9 40021 5 12 8444 "CTS20010123.1300.1023" 1 1
"268" "vsn" 9 40021 5 4 8435 "CTS20010115.2000.0008" 0 1
"269" "vsn" 9 40021 6 6 8437 "CTS20010115.2000.0008" 1 1
"270" "vsn" 9 40021 8 1 8432 "CTS20010115.2000.0008" 1 1
"271" "vsn" 9 40021 9 8 8440 "XIN20010114.2000.0128" 1 1
"272" "vsn" 9 40021 9 6 8437 "CTS20010115.2000.0008" 1 1
"273" "vsn" 9 40021 10 9 8441 "CBS20010121.0800.0231" 1 1
"274" "vsn" 9 40021 10 15 8447 "CTS20010115.2000.0008" 1 1
"275" "vsn" 9 40021 10 16 8448 "XIN20010115.2000.0144" 1 1
"276" "vsn" 9 40021 10 14 8446 "XIN20010114.2000.0139" 0 1
"277" "vsn" 9 40021 10 5 8436 "CTS20010115.2000.0008" 1 1
"278" "vsn" 9 40021 11 7 8439 "VOM20010116.0700.0098" 1 1
"279" "vsn" 9 40021 11 5 8436 "CTS20010115.2000.0008" 1 1
"280" "vsn" 9 40021 12 11 8443 "CTS20010123.1300.1023" 1 1
"281" "vsn" 9 40021 12 7 8439 "VOM20010116.0700.0098" 1 1
"282" "vse" 9 40048 1 3 8475 "NYT20001111.1525.0144" 1 3
"283" "vse" 9 40048 1 8 8480 "NYT20001111.1525.0144" 1 3
"284" "vse" 9 40048 1 10 8482 "APW20001207.1122.0418" 0.984252 3
"285" "vse" 9 40048 1 11 8483 "APW20001207.1122.0418" 1 3
"286" "vse" 9 40048 1 13 8485 "APW20001111.1611.0427" 1 3
"287" "vse" 9 40048 1 19 8491 "APW20001111.0851.0294" 0 3
"288" "vse" 9 40048 1 25 8497 "XIN20001111.0200.0012" 1 3
"289" "vse" 9 40048 1 26 8498 "XIN20001111.0200.0012" 1 3
"290" "vse" 9 40048 1 27 8499 "APW20001207.1122.0418" 1 3
"291" "vse" 9 40048 1 28 8500 "APW20001207.1122.0418" 0 3
"292" "vse" 9 40048 1 30 8502 "ZBN20001112.1300.0037" 1 3
"293" "vse" 9 40048 1 33 8505 "ZBN20001112.1300.0037" 1 3
"294" "vse" 9 40048 1 34 8506 "ZBN20001112.1300.0037" 1 3
"295" "vse" 9 40048 1 35 8507 "ZBN20001112.1300.0037" 1 3
"296" "vse" 9 40048 1 37 8509 "APW20001111.0851.0294" 1 3
"297" "vse" 9 40048 1 39 8511 "APW20001111.0851.0294" 0 3
"298" "vse" 9 40048 2 13 8485 "APW20001111.1611.0427" 1 3
"299" "vse" 9 40048 2 27 8499 "APW20001207.1122.0418" 1 3
"300" "vse" 9 40048 2 28 8500 "APW20001207.1122.0418" 0 3
"301" "vse" 9 40048 2 30 8502 "ZBN20001112.1300.0037" 1 3
"302" "vse" 9 40048 2 33 8505 "ZBN20001112.1300.0037" 1 3
"303" "vse" 9 40048 2 34 8506 "ZBN20001112.1300.0037" 1 3
"304" "vse" 9 40048 2 35 8507 "ZBN20001112.1300.0037" 1 3
"305" "vse" 9 40048 2 37 8509 "APW20001111.0851.0294" 1 3
"306" "vse" 9 40048 2 39 8511 "APW20001111.0851.0294" 0 3
"307" "vse" 9 40048 3 8 8480 "NYT20001111.1525.0144" 1 3
"308" "vse" 9 40048 3 14 8486 "APW20001111.1611.0427" 1 3
"309" "vse" 9 40048 3 22 8494 "APW20001111.0851.0294" 0 3
"310" "vse" 9 40048 3 30 8502 "ZBN20001112.1300.0037" 1 3
"311" "vse" 9 40048 3 36 8508 "ZBN20001112.1300.0037" 1 3
"312" "vse" 9 40048 3 38 8510 "APW20001111.0851.0294" 0.68595 3
"313" "vse" 9 40048 3 39 8511 "APW20001111.0851.0294" 0 3
"314" "vse" 9 40048 4 6 8478 "NYT20001111.1525.0144" 1 3
"315" "vse" 9 40048 4 22 8494 "APW20001111.0851.0294" 0 3
"316" "vse" 9 40048 5 1 8473 "NYT20001111.1525.0144" 1 3
"317" "vse" 9 40048 5 2 8474 "NYT20001111.1525.0144" 1 3
"318" "vse" 9 40048 5 7 8479 "NYT20001111.1525.0144" 1 3
"319" "vse" 9 40048 5 20 8492 "CBS20001114.1000.0691" 1 3
"320" "vse" 9 40048 5 21 8493 "CBS20001114.1000.0691" 1 3
"321" "vse" 9 40048 5 22 8494 "APW20001111.0851.0294" 0 3
"322" "vse" 9 40048 5 23 8495 "APW20001111.0851.0294" 1 3
"323" "vse" 9 40048 5 31 8503 "ZBN20001112.1300.0037" 1 3
"324" "vse" 9 40048 5 32 8504 "ZBN20001112.1300.0037" 0 3
"325" "vse" 9 40048 6 9 8481 "NYT20001111.1525.0144" 1 3
"326" "vse" 9 40048 6 22 8494 "APW20001111.0851.0294" 0 3
"327" "vse" 9 40048 6 24 8496 "XIN20001111.0200.0012" 1 3
"328" "vse" 9 40048 6 29 8501 "ZBN20001112.1300.0037" 1 3
"329" "vse" 9 40048 7 4 8476 "NYT20001111.1525.0144" 1 3
"330" "vse" 9 40048 7 5 8477 "NYT20001111.1525.0144" 1 3
"331" "vse" 9 40048 7 12 8484 "APW20001111.1611.0427" 1 3
"332" "vse" 9 40048 7 15 8487 "APW20001111.1611.0427" 1 3
"333" "vse" 9 40048 7 16 8488 "APW20001111.1611.0427" 1 3
"334" "vse" 9 40048 7 17 8489 "APW20001111.1611.0427" 0.993399 3
"335" "vse" 9 40048 7 18 8490 "APW20001111.0851.0294" 0.916143 3
"336" "vse" 9 40048 7 22 8494 "APW20001111.0851.0294" 0 3
"337" "vse" 9 40048 7 23 8495 "APW20001111.0851.0294" 1 3
"338" "vse" 9 40048 7 31 8503 "ZBN20001112.1300.0037" 1 3
"339" "vse" 9 40048 7 32 8504 "ZBN20001112.1300.0037" 0 3
"340" "vse" 9 40048 8 1 8473 "NYT20001111.1525.0144" 1 3
"341" "vse" 9 40048 8 2 8474 "NYT20001111.1525.0144" 1 3
"342" "vse" 9 40048 8 7 8479 "NYT20001111.1525.0144" 1 3
"343" "vse" 9 40048 8 16 8488 "APW20001111.1611.0427" 1 3
"344" "vse" 9 40048 8 18 8490 "APW20001111.0851.0294" 0.916143 3
