sys userno topicid action docs c1 c2 c3
vsn 31 40009 automarquee 24 213 132 100
vsn 31 40009 automarquee 32 262 191 100
vsn 31 40009 automarquee 39 411 208 100
vsn 31 40009 automarquee 12 0 0 100
vsn 31 40009 automarquee 6 258 124 100
vsn 31 40009 automarquee 16 277 168 100
vsn 31 40009 automarquee 38 234 386 100
vsn 31 40009 automarquee 20 313 146 100
vsn 31 40009 automarquee 39 226 3 100
vsn 31 40009 automarquee 5 272 142 100
vsn 31 40009 automarquee 27 295 155 100
vsn 31 40009 automarquee 25 283 152 100
vsn 31 40009 automarquee 38 767 172 100
vsn 31 40009 automarquee 40 449 133 100
vsn 31 40009 automarquee 59 498 168 100
vsn 31 40009 automarquee 1 366 173 100
vsn 31 40009 automarquee 17 367 230 100
