sys userno topicid top5 top10 inum
vsn 23 40021 -1 1.0 1
vsn 24 40048 -1 1.0 0
vsn 24 40048 -1 1.0 0
vsn 24 40048 -1 1.0 1
vsn 24 40048 -1 1.0 1
vsn 24 40048 -1 0.9 1
vsn 24 40048 -1 1.0 1
vsn 24 40048 -1 1.0 1
vsn 24 40048 -1 1.0 1
vse 24 40009 -1 0.9 0
vse 24 40009 -1 0.6 0
vse 24 40009 -1 0.6 1
vse 24 40009 -1 0.6 1
vse 24 40009 -1 0.6 1
vse 24 40009 -1 0.6 1
vse 24 40009 -1 0.9 1
vse 24 40009 -1 1.0 1
vse 24 40009 -1 0.9 1
vse 24 40009 -1 0.6 1
vse 24 40009 -1 0.5 1
vse 24 40009 -1 0.9 1
vse 24 40009 -1 0.9 1
vse 24 40009 -1 0.8 1
vse 25 40009 -1 0.8 0
vse 25 40009 -1 0.9 0
vse 25 40009 -1 0.9 0
vse 25 40009 -1 0.6 0
vse 25 40009 -1 0.2 1
vse 25 40009 -1 0.7 1
vse 25 40009 -1 0.5 1
vse 25 40009 -1 0.7 1
vsn 25 40048 -1 0.6 0
vsn 25 40048 -1 1.0 0
vsn 25 40048 -1 1.0 0
vse 26 40021 -1 1.0 0
vse 26 40021 -1 1.0 0
vse 26 40021 -1 1.0 0
vse 26 40021 -1 1.0 1
vse 26 40021 -1 1.0 1
vse 26 40021 -1 1.0 1
vse 26 40021 -1 1.0 1
vse 26 40021 -1 1.0 1
vse 26 40021 -1 1.0 1
vse 26 40021 -1 1.0 1
vse 26 40021 -1 1.0 1
vsn 26 40009 -1 0.7 0
vsn 26 40009 -1 1.0 1
vsn 26 40009 -1 0.9 1
vsn 26 40009 -1 0.9 1
vsn 26 40009 -1 0.9 1
vsn 26 40009 -1 0.0 1
vsn 26 40009 -1 0.0 1
vsn 26 40009 -1 0.5 1
vsn 26 40009 -1 0.4 1
vsn 27 40021 -1 1.0 0
vsn 27 40021 -1 1.0 0
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vsn 27 40021 -1 1.0 1
vse 27 40048 -1 1.0 0
vse 27 40048 -1 1.0 0
vse 27 40048 -1 1.0 0
vse 27 40048 -1 1.0 0
vse 27 40048 -1 1.0 0
